"ID","State","MakeArt","Age","Female","White","Black","Asian","Hispanic","Education","Income","HHUnder18"
2295,"OK",0,2,1,0,0,0,0,1,3,1
2296,"PA",0,3,1,1,0,0,0,4,15,1
2308,"CA",0,5,1,1,0,0,0,3,14,0
2317,"FL",1,2,1,1,0,0,0,4,10,0
2319,"PA",0,3,0,0,1,0,0,4,11,3
2324,"FL",0,4,1,0,1,0,0,2,6,1
2328,"OH",0,3,1,1,0,0,0,3,7,3
2333,"CA",0,3,1,0,0,0,1,3,1,0
2353,"NM",1,2,1,1,0,0,0,4,11,0
2363,"OH",0,4,0,1,0,0,0,3,13,0
2373,"GA",0,5,1,1,0,0,0,3,11,0
2379,"FL",1,4,1,0,0,0,1,3,6,0
2390,"WI",0,4,1,0,1,0,0,3,1,0
2392,"VA",1,3,1,0,0,0,0,4,15,1
2405,"PA",0,6,0,1,0,0,0,4,9,0
2413,"MD",1,3,0,1,0,0,0,4,14,0
2421,"NJ",1,6,1,1,0,0,0,4,11,0
2425,"FL",0,2,1,0,0,0,1,3,11,2
2426,"FL",0,7,0,1,0,0,0,3,10,0
2427,"AZ",0,4,0,1,0,0,0,4,13,1
