bill_id,people_id,name,chamber,district,party,sponsor
1154930,471,Andrew Dinniman,Sen,SD-019,D,1
1154930,463,John Yudichak,Sen,SD-014,D,1
1154930,503,Christine Tartaglione,Sen,SD-002,D,1
1154930,424,Mario Scavello,Sen,SD-040,R,1
1154930,21372,Doug Mastriano,Sen,SD-033,R,0
1154930,469,Jacob Corman,Sen,SD-034,R,0
1154930,372,Robert Mensch,Sen,SD-024,R,0
1154930,465,Lisa Baker,Sen,SD-020,R,1
1154930,353,Daylin Leach,Sen,SD-017,D,0
1154930,18516,Sharif Street,Sen,SD-003,D,0
1154930,21371,Joe Pittman,Sen,SD-041,R,0
1154930,934,Gene Yaw,Sen,SD-023,R,0
1154930,467,Patrick Browne,Sen,SD-016,R,1
1154930,19038,Giovanni DiSanto,Sen,SD-015,R,0
1154930,419,John Sabatina,Sen,SD-005,D,0
1154930,13010,Judy Schwank,Sen,SD-011,D,1
1154930,20817,Lindsey Williams,Sen,SD-038,D,0
1154930,347,Thomas Killion,Sen,SD-009,R,0
1154930,20816,Katie Muth,Sen,SD-044,D,0
1154930,18946,Scott Martin,Sen,SD-013,R,1
1154930,481,Vincent Hughes,Sen,SD-007,D,1
1154930,931,Steven Santarsiero,Sen,SD-010,D,0
1154930,16957,Arthur Haywood,Sen,SD-004,D,1
1154930,470,Jay Costa,Sen,SD-043,D,1
1154930,511,Anthony Williams,Sen,SD-008,D,0
1154930,16870,Kristin Phillips-Hill,Sen,SD-028,R,1
1154930,466,Lisa Boscola,Sen,SD-018,D,1
1154930,18795,Wayne Langerholc,Sen,SD-035,R,0
1154930,17529,Judith Ward,Sen,SD-030,R,1
1154930,477,Wayne Fontana,Sen,SD-042,D,1
1154930,896,Richard Alloway,Sen,SD-033,R,0
1154930,903,Kim Ward,Sen,SD-039,R,1
1154930,20563,Maria Collett,Sen,SD-012,D,0
1154930,500,Joseph Scarnati,Sen,SD-025,R,0
1154930,277,Michele Brooks,Sen,SD-050,R,1
1154930,476,Michael Folmer,Sen,SD-048,R,1
1154930,479,John Gordner,Sen,SD-027,R,0
1154930,898,Lawrence Farnese,Sen,SD-001,D,0
1154930,339,Scott Hutchinson,Sen,SD-021,R,0
1154930,504,Robert Tomlinson,Sen,SD-006,R,0
1154930,11527,Ryan Aument,Sen,SD-036,R,1
1154930,902,Elder Vogel,Sen,SD-047,R,0
1154930,16956,Camera Bartolotta,Sen,SD-046,R,1
1154930,262,David Argall,Sen,SD-029,R,1
1154930,21357,Pam Iovino,Sen,SD-037,D,0
1154930,508,Donald White,Sen,SD-041,R,0
1154930,20815,Timothy Kearney,Sen,SD-026,D,0
1154930,16869,Patrick Stefano,Sen,SD-032,R,0
1154930,11539,John Blake,Sen,SD-022,D,0
1154930,14166,Michael Regan,Sen,SD-031,R,0
1155161,277,Michele Brooks,Sen,SD-050,R,0
1155161,419,John Sabatina,Sen,SD-005,D,0
1155161,339,Scott Hutchinson,Sen,SD-021,R,1
1155161,934,Gene Yaw,Sen,SD-023,R,0
1155161,504,Robert Tomlinson,Sen,SD-006,R,1
1155161,17529,Judith Ward,Sen,SD-030,R,1
1155161,16870,Kristin Phillips-Hill,Sen,SD-028,R,0
1155161,465,Lisa Baker,Sen,SD-020,R,1
1155161,424,Mario Scavello,Sen,SD-040,R,1
1155161,11527,Ryan Aument,Sen,SD-036,R,1
1155161,20816,Katie Muth,Sen,SD-044,D,0
1155161,11539,John Blake,Sen,SD-022,D,0
1155161,20815,Timothy Kearney,Sen,SD-026,D,0
1155161,16869,Patrick Stefano,Sen,SD-032,R,0
1155161,481,Vincent Hughes,Sen,SD-007,D,1
1155161,353,Daylin Leach,Sen,SD-017,D,0
1155161,477,Wayne Fontana,Sen,SD-042,D,1
1155161,466,Lisa Boscola,Sen,SD-018,D,1
1155161,470,Jay Costa,Sen,SD-043,D,1
1155161,463,John Yudichak,Sen,SD-014,D,1
1155161,19038,Giovanni DiSanto,Sen,SD-015,R,0
1155161,18795,Wayne Langerholc,Sen,SD-035,R,0
1155161,372,Robert Mensch,Sen,SD-024,R,0
1155161,21357,Pam Iovino,Sen,SD-037,D,0
1155161,16956,Camera Bartolotta,Sen,SD-046,R,1
1155161,931,Steven Santarsiero,Sen,SD-010,D,0
1155161,469,Jacob Corman,Sen,SD-034,R,0
1155161,508,Donald White,Sen,SD-041,R,0
1155161,479,John Gordner,Sen,SD-027,R,1
1155161,18516,Sharif Street,Sen,SD-003,D,1
1155161,11213,James Brewster,Sen,SD-045,D,1
1155161,18900,Daniel Laughlin,Sen,SD-049,R,0
1155161,18946,Scott Martin,Sen,SD-013,R,0
1155161,898,Lawrence Farnese,Sen,SD-001,D,0
1155161,14166,Michael Regan,Sen,SD-031,R,0
1155161,471,Andrew Dinniman,Sen,SD-019,D,1
1155161,500,Joseph Scarnati,Sen,SD-025,R,0
1155161,262,David Argall,Sen,SD-029,R,1
1155161,347,Thomas Killion,Sen,SD-009,R,0
1155161,21371,Joe Pittman,Sen,SD-041,R,0
1155161,467,Patrick Browne,Sen,SD-016,R,0
1155161,16957,Arthur Haywood,Sen,SD-004,D,1
1155161,21372,Doug Mastriano,Sen,SD-033,R,0
1155161,902,Elder Vogel,Sen,SD-047,R,1
1155161,903,Kim Ward,Sen,SD-039,R,0
1155161,21535,Dave Arnold,Sen,SD-048,R,0
1155161,896,Richard Alloway,Sen,SD-033,R,0
1155161,20817,Lindsey Williams,Sen,SD-038,D,0
1155161,13010,Judy Schwank,Sen,SD-011,D,1
1155161,476,Michael Folmer,Sen,SD-048,R,1
1155161,503,Christine Tartaglione,Sen,SD-002,D,1
1155161,20563,Maria Collett,Sen,SD-012,D,1
1155161,511,Anthony Williams,Sen,SD-008,D,0
1155390,481,Vincent Hughes,Sen,SD-007,D,1
1155390,477,Wayne Fontana,Sen,SD-042,D,0
1155390,469,Jacob Corman,Sen,SD-034,R,0
1155390,470,Jay Costa,Sen,SD-043,D,1
1155390,896,Richard Alloway,Sen,SD-033,R,0
1155390,503,Christine Tartaglione,Sen,SD-002,D,0
1155390,479,John Gordner,Sen,SD-027,R,0
1155390,424,Mario Scavello,Sen,SD-040,R,1
1155390,463,John Yudichak,Sen,SD-014,D,1
1155390,504,Robert Tomlinson,Sen,SD-006,R,0
1155390,467,Patrick Browne,Sen,SD-016,R,1
1155390,931,Steven Santarsiero,Sen,SD-010,D,0
1155390,14166,Michael Regan,Sen,SD-031,R,0
1155390,898,Lawrence Farnese,Sen,SD-001,D,0
1155390,11527,Ryan Aument,Sen,SD-036,R,1
1155390,471,Andrew Dinniman,Sen,SD-019,D,1
1155390,466,Lisa Boscola,Sen,SD-018,D,0
1155390,20815,Timothy Kearney,Sen,SD-026,D,0
1155390,18516,Sharif Street,Sen,SD-003,D,0
1155390,21357,Pam Iovino,Sen,SD-037,D,0
1155390,508,Donald White,Sen,SD-041,R,1
1155390,19038,Giovanni DiSanto,Sen,SD-015,R,1
1155390,353,Daylin Leach,Sen,SD-017,D,0
1155390,903,Kim Ward,Sen,SD-039,R,1
1155390,500,Joseph Scarnati,Sen,SD-025,R,0
1155390,21535,Dave Arnold,Sen,SD-048,R,0
1155390,347,Thomas Killion,Sen,SD-009,R,1
1155390,465,Lisa Baker,Sen,SD-020,R,1
1155390,902,Elder Vogel,Sen,SD-047,R,0
1155390,372,Robert Mensch,Sen,SD-024,R,1
1155390,20563,Maria Collett,Sen,SD-012,D,0
1155390,11539,John Blake,Sen,SD-022,D,1
1155390,934,Gene Yaw,Sen,SD-023,R,1
1155390,476,Michael Folmer,Sen,SD-048,R,1
1155390,11213,James Brewster,Sen,SD-045,D,0
1155390,16956,Camera Bartolotta,Sen,SD-046,R,1
1155390,18900,Daniel Laughlin,Sen,SD-049,R,0
1155390,18946,Scott Martin,Sen,SD-013,R,1
1155390,21372,Doug Mastriano,Sen,SD-033,R,0
1155390,511,Anthony Williams,Sen,SD-008,D,0
1155390,339,Scott Hutchinson,Sen,SD-021,R,1
1155390,16870,Kristin Phillips-Hill,Sen,SD-028,R,1
1155390,20816,Katie Muth,Sen,SD-044,D,0
1155390,17529,Judith Ward,Sen,SD-030,R,1
1155390,18795,Wayne Langerholc,Sen,SD-035,R,0
1155390,21371,Joe Pittman,Sen,SD-041,R,0
1155390,13010,Judy Schwank,Sen,SD-011,D,1
1155390,16957,Arthur Haywood,Sen,SD-004,D,0
1155390,16869,Patrick Stefano,Sen,SD-032,R,0
1155390,419,John Sabatina,Sen,SD-005,D,1
1155390,277,Michele Brooks,Sen,SD-050,R,0
1155390,262,David Argall,Sen,SD-029,R,1
1155390,20817,Lindsey Williams,Sen,SD-038,D,0
1168134,16957,Arthur Haywood,Sen,SD-004,D,0
1168134,17529,Judith Ward,Sen,SD-030,R,0
1168134,471,Andrew Dinniman,Sen,SD-019,D,0
1168134,479,John Gordner,Sen,SD-027,R,0
1168134,18516,Sharif Street,Sen,SD-003,D,0
1168134,16869,Patrick Stefano,Sen,SD-032,R,0
1168134,21535,Dave Arnold,Sen,SD-048,R,0
1168134,466,Lisa Boscola,Sen,SD-018,D,0
1168134,20815,Timothy Kearney,Sen,SD-026,D,0
1168134,511,Anthony Williams,Sen,SD-008,D,0
1168134,13010,Judy Schwank,Sen,SD-011,D,0
1168134,508,Donald White,Sen,SD-041,R,0
1168134,902,Elder Vogel,Sen,SD-047,R,1
1168134,481,Vincent Hughes,Sen,SD-007,D,0
1168134,20563,Maria Collett,Sen,SD-012,D,0
1168134,16870,Kristin Phillips-Hill,Sen,SD-028,R,0
1168134,463,John Yudichak,Sen,SD-014,D,0
1168134,20816,Katie Muth,Sen,SD-044,D,0
1168134,477,Wayne Fontana,Sen,SD-042,D,0
1168134,19038,Giovanni DiSanto,Sen,SD-015,R,0
1168134,11527,Ryan Aument,Sen,SD-036,R,0
1168134,21372,Doug Mastriano,Sen,SD-033,R,0
1168134,934,Gene Yaw,Sen,SD-023,R,1
1168134,14166,Michael Regan,Sen,SD-031,R,1
1168134,470,Jay Costa,Sen,SD-043,D,0
1168134,898,Lawrence Farnese,Sen,SD-001,D,0
1168134,500,Joseph Scarnati,Sen,SD-025,R,1
1168134,18900,Daniel Laughlin,Sen,SD-049,R,0
1168134,903,Kim Ward,Sen,SD-039,R,0
1168134,20817,Lindsey Williams,Sen,SD-038,D,0
1168134,18795,Wayne Langerholc,Sen,SD-035,R,0
1168134,11539,John Blake,Sen,SD-022,D,0
1168134,931,Steven Santarsiero,Sen,SD-010,D,0
1168134,262,David Argall,Sen,SD-029,R,0
1168134,467,Patrick Browne,Sen,SD-016,R,0
1168134,372,Robert Mensch,Sen,SD-024,R,0
1168134,896,Richard Alloway,Sen,SD-033,R,1
1168134,504,Robert Tomlinson,Sen,SD-006,R,0
1168134,469,Jacob Corman,Sen,SD-034,R,0
1168134,339,Scott Hutchinson,Sen,SD-021,R,0
1168134,21357,Pam Iovino,Sen,SD-037,D,0
1168134,16956,Camera Bartolotta,Sen,SD-046,R,0
1168134,476,Michael Folmer,Sen,SD-048,R,1
1168134,503,Christine Tartaglione,Sen,SD-002,D,0
1168134,347,Thomas Killion,Sen,SD-009,R,1
1168134,465,Lisa Baker,Sen,SD-020,R,0
1168134,277,Michele Brooks,Sen,SD-050,R,0
1168134,21371,Joe Pittman,Sen,SD-041,R,0
1168134,18946,Scott Martin,Sen,SD-013,R,0
1168134,353,Daylin Leach,Sen,SD-017,D,0
1168134,11213,James Brewster,Sen,SD-045,D,0
1168134,419,John Sabatina,Sen,SD-005,D,0
1168134,424,Mario Scavello,Sen,SD-040,R,0
1168341,503,Christine Tartaglione,Sen,SD-002,D,0
1168341,372,Robert Mensch,Sen,SD-024,R,1
1168341,477,Wayne Fontana,Sen,SD-042,D,0
1168341,511,Anthony Williams,Sen,SD-008,D,0
1168341,18900,Daniel Laughlin,Sen,SD-049,R,0
1168341,18946,Scott Martin,Sen,SD-013,R,1
